method,epsilon,cosine_similarity
fgsm,0.001,0.30256736278533936
fgsm,0.001,0.7472707255861383
fgsm,0.001,0.40357215415156367
fgsm,0.001,0.9320311546325684
fgsm,0.001,0.8048467875971437
fgsm,0.001,0.5286616244513282
fgsm,0.001,0.8695836663246155
fgsm,0.001,0.8820294667499955
fgsm,0.001,0.5489155217681984
fgsm,0.001,0.9118852615356445
fgsm,0.001,0.8872538737806023
fgsm,0.001,0.9347548484802246
fgsm,0.001,0.8428984535604258
fgsm,0.001,0.7426433563232422
fgsm,0.001,0.9680904150009155
fgsm,0.001,0.7505415678024292
fgsm,0.001,0.8827392528808577
fgsm,0.001,0.7543385771311191
fgsm,0.001,0.8704500794410706
fgsm,0.001,0.9337129592895508
fgsm,0.001,0.7649223524239538
fgsm,0.001,0.5301590597819199
fgsm,0.001,0.6434584047471538
fgsm,0.001,0.9271352291107178
fgsm,0.001,0.7477060406032838
fgsm,0.001,0.8936186369430222
fgsm,0.001,0.8211021912754902
fgsm,0.001,0.7742942571640015
fgsm,0.001,0.927433431148529
fgsm,0.001,0.7612753652766143
fgsm,0.001,0.8703334927558899
fgsm,0.001,0.49920666217803955
fgsm,0.001,0.8676871657371521
fgsm,0.001,0.18027276875214426
fgsm,0.001,0.6927261352539062
fgsm,0.001,0.6178611516952515
fgsm,0.001,0.503628507364646
fgsm,0.001,0.8841796184831748
fgsm,0.001,0.5445864200592041
fgsm,0.001,0.6894392371177673
fgsm,0.001,0.7324264645576477
fgsm,0.001,0.8429942382274345
fgsm,0.001,0.8772646115579985
fgsm,0.001,0.5070058107376099
fgsm,0.001,0.657588005065918
fgsm,0.001,0.8700821477125811
fgsm,0.001,0.7637232401206054
fgsm,0.001,0.8238965518443753
fgsm,0.001,0.7511740922927856
fgsm,0.001,0.6506507784516095
fgsm,0.001,0.8121702186959866
fgsm,0.001,0.5343540906906128
fgsm,0.001,0.4227376408200755
fgsm,0.001,0.6782834529876709
fgsm,0.001,0.7417672872543335
fgsm,0.001,0.6948538033620659
fgsm,0.001,0.6930132921346016
fgsm,0.001,0.7206759452819824
fgsm,0.001,0.5156545350345701
fgsm,0.001,0.21550500392913818
fgsm,0.001,0.48381316661834717
fgsm,0.001,0.15931193121529552
fgsm,0.001,0.6376849628874693
fgsm,0.001,0.6753236055374146
fgsm,0.001,0.7772529125213623
fgsm,0.001,0.792719078497943
fgsm,0.001,0.6264908687168889
fgsm,0.001,0.7160191535949707
fgsm,0.001,0.5459350347518921
fgsm,0.001,0.6732465825452385
fgsm,0.001,0.3367685079574585
fgsm,0.001,0.3553536534309387
fgsm,0.001,0.5134802460670471
fgsm,0.001,0.765233942738233
fgsm,0.001,0.9323294440606075
fgsm,0.001,0.4963741898536682
fgsm,0.001,0.9242370679519829
fgsm,0.001,0.8401867056004244
fgsm,0.001,0.8127599004733537
fgsm,0.001,0.5859475382597732
fgsm,0.001,0.9008185208331673
fgsm,0.001,0.6318020820617676
fgsm,0.001,0.8602176904678345
fgsm,0.001,0.8266411670041436
fgsm,0.001,0.5039634258736203
fgsm,0.001,0.42421308972356697
fgsm,0.001,0.74213045835495
fgsm,0.001,0.6345817446708679
fgsm,0.001,0.5718605688768797
fgsm,0.001,-0.011934733018279076
fgsm,0.001,0.6977244823492912
fgsm,0.001,0.9572915409381133
fgsm,0.001,0.8456789507174183
fgsm,0.001,0.7142274975776672
fgsm,0.001,0.8386106144967862
fgsm,0.001,0.35487069814626626
fgsm,0.001,0.9696817416142397
fgsm,0.001,0.7845240106894991
fgsm,0.001,0.4184578185813971
fgsm,0.001,0.9334701299667358
fgsm,0.001,0.9759173364540809
fgsm,0.001,0.5644271969795227
fgsm,0.001,0.9211137843795902
fgsm,0.001,0.7298436817387087
fgsm,0.001,0.36257548220680613
